id,name,functional,reaction_count
YLR359W,,True,2
YMR202W,,True,1
YER015W,,True,7
YGR088W,,True,1
YNL220W,,True,1
YDR256C,,True,1
YIL009W,,True,7
YDL052C,,True,1
YOR303W,,True,1
YOR317W,,True,7
YJR109C,,True,1
YKR066C,,True,1
YMR246W,,True,7
YJR048W,,True,6
YEL039C,,True,6
YIL134W,,True,1
YCL004W,,True,1
YNL202W,,True,5
UNKNOWN,,True,2
YPL087W,,True,6
YFL030W,,True,1
YBR183W,,True,4
YOR180C,,True,9
YDR297W,,True,3
YER043C,,True,1
YKL008C,,True,8
YLR303W,,True,2
YLR284C,,True,9
YHL003C,,True,8
YGR037C,,True,12
YJL196C,,True,3
YMR120C,,True,2
YMR272C,,True,4
YLR028C,,True,2
YGR202C,,True,1
YOR128C,,True,1
YLR372W,,True,2
YGL077C,,True,1
YDL015C,,True,2
YDR148C,,True,3
YLR133W,,True,1
YIL125W,,True,3
YPR060C,,True,1
YFL018C,,True,11
YKL060C,,True,3
YGL148W,,True,1
YLR377C,,True,1
YDR481C,,True,1
YLR307W,,True,1
YDR232W,,True,1
YLR308W,,True,1
YJL155C,,True,1
YBR038W,,True,1
YNL192W,,True,1
YOR176W,,True,1
YOR388C,,True,1
YDR111C,,True,1
YBR023C,,True,1
YBR291C,,True,3
YLR089C,,True,1
YDL142C,,True,1
YPL276W,,True,1
YLR151C,,True,1
YPL275W,,True,1
YOR335C,,True,1
YHR002W,,True,1
YMR319C,,True,1
YDR044W,,True,1
YPL265W,,True,7
YOR100C,,True,1
YJL060W,,True,1
YBR132C,,True,1
YBL013W,,True,1
YCL025C,,True,13
YML042W,,True,2
YKR039W,,True,21
YDL045C,,True,1
YAR035W,,True,1
YOL020W,,True,6
YER024W,,True,1
YLR011W,,True,2
YEL047C,,True,1
YPR062W,,True,1
YJR051W,,True,1
YNR001C,,True,1
YPR001W,,True,2
YOR120W,,True,1
YCR005C,,True,1
YPL069C,,True,1
YEL069C,,True,3
YBL039C,,True,2
YDR342C,,True,3
YLL043W,,True,1
YJR103W,,True,2
YPL189W,,True,1
YBR192W,,True,2
YGL084C,,True,1
YOL156W,,True,4
YHR096C,,True,3
YHR051W,,True,1
YMR256C,,True,1
YNR072W,,True,3
YJR158W,,True,3
YHL032C,,True,1
YDL067C,,True,1
YDR272W,,True,1
YDR345C,,True,3
YGL187C,,True,1
YOR040W,,True,1
YLR038C,,True,1
YFL011W,,True,4
YHR092C,,True,3
YGL191W,,True,1
YHR094C,,True,3
YPR081C,,True,1
YIL111W,,True,1
YBR121C,,True,1
YJL219W,,True,4
Q0275,,True,1
YDL245C,,True,3
YMR217W,,True,1
YNL052W,,True,1
YJL214W,,True,3
Q0045,,True,1
YDR343C,,True,3
YMR011W,,True,3
YLR395C,,True,1
Q0250,,True,1
YER183C,,True,1
YBL045C,,True,1
YGR204W,,True,3
YDR529C,,True,1
YHR183W,,True,1
YEL024W,,True,1
YGR256W,,True,1
YBR084W,,True,3
YPR191W,,True,1
YPL262W,,True,2
YPL110C,,True,1
YGR183C,,True,1
YDR513W,,True,2
YBR205W,,True,2
YJL166W,,True,1
YJL139C,,True,2
Q0105,,True,1
YFR033C,,True,1
YPL053C,,True,2
YDR098C,,True,1
YER174C,,True,1
YOR065W,,True,1
YPL091W,,True,2
YDR483W,,True,2
YOR099W,,True,2
YKR061W,,True,2
YGR012W,,True,1
YCL035C,,True,2
YAL012W,,True,1
YPL059W,,True,2
YBR199W,,True,2
YLR438W,,True,1
YNL029C,,True,2
YCR098C,,True,2
YBR244W,,True,1
YIR037W,,True,1
YOR130C,,True,1
YKL026C,,True,1
YDL022W,,True,1
YMR271C,,True,1
YML106W,,True,1
YOL059W,,True,1
YDR135C,,True,1
YOR222W,,True,1
YIL155C,,True,1
YPL134C,,True,1
YJL212C,,True,1
YIL145C,,True,1
YIL053W,,True,1
YOL049W,,True,1
YLR043C,,True,17
YER062C,,True,1
YOR323C,,True,2
YPR167C,,True,1
YLR299W,,True,1
YGR209C,,True,17
YGR267C,,True,1
YNL241C,,True,1
YGL062W,,True,1
YBR196C,,True,3
YBR218C,,True,1
